ability|n|əˈbɪlɪti|783|здатність; уміння|He has the ability to solve complex problems.|Він має здатність вирішувати складні проблеми.
able|adj|ˈeɪbəl|386|здатний; спроможний|She is able to speak four languages.|Вона здатна говорити чотирма мовами.
about|prep/adv|əˈbaʊt|179|про; близько|They talked about the project./The meeting is about to start.|Вони говорили про проект./Зустріч ось-ось почнеться.
above|prep/adv|əˈbʌv|1599|над; вище|The bird is flying above the treetops./She ranked above her peers.|Птах летить над верхівками дерев./Вона була вище за своїх однолітків.
abroad|adv|əˈbrɔːd|3392|за кордоном|He studied abroad for a year.|Він навчався за кордоном рік.
absent|adj|ˈæbsənt|NULL|відсутній|He was absent from the meeting.|Він був відсутній на зборах.
accept|v|əkˈsept|767|приймати; погоджуватися|She accepted the job offer./He accepted the terms.|Вона прийняла пропозицію роботи./Він погодився з умовами.
access|n/v|ˈækses|4416|доступ; отримувати доступ|You need access to the database./He accessed the information easily.|Тобі потрібен доступ до бази даних./Він легко отримав доступ до інформації.
accident|n|ˈæksɪdənt|1720|нещасний випадок|The accident caused a traffic jam.|Аварія спричинила затор на дорозі.
accommodation|n|əˌkɒməˈdeɪʃn|NULL|житло; розміщення|We found suitable accommodation for the weekend.|Ми знайшли підходяще житло на вихідні.
accompany|v|əˈkʌmpəni|2460|супроводжувати|She will accompany him to the party.|Вона супроводжуватиме його на вечірку.
according to|prep|əˈkɔːrdɪŋ tuː|NULL|згідно з|According to the report, sales have increased.|Згідно з доповіддю, продажі зросли.
account|n/v|əˈkaʊnt|1923|рахунок; звіт|She opened a new bank account./He accounted for his actions.|Вона відкрила новий банківський рахунок./Він звітував про свої дії.
accurate|adj|ˈækjʊrət|2754|точний|The weather forecast was very accurate.|Прогноз погоди був дуже точним.
ache|n/v|eɪk|NULL|біль; боліти|He felt an ache in his back./My head aches.|Він відчував біль у спині./Моя голова болить.
achieve|v|əˈtʃiːv|1155|досягати|She achieved her goal of becoming a doctor.|Вона досягла своєї мети стати лікарем.
across|prep/adv|əˈkrɒs|3154|через; по той бік|He walked across the bridge./The store is just across the street.|Він пройшов через міст./Магазин знаходиться прямо по той бік вулиці.
act|n/v|ækt|1139|дія; діяти|The play was in three acts./He acted quickly.|П'єса складалася з трьох актів./Він діяв швидко.
action|n|ˈækʃn|503|дія; дію|His action saved many lives.|Його дія врятувала багато життів.
active|adj|ˈæktɪv|1451|активний|She leads an active lifestyle.|Вона веде активний спосіб життя.
activity|n|ækˈtɪvɪti|538|діяльність|The school organized various activities.|Школа організувала різні види діяльності.
actor|n|ˈæktər|1507|актор|He is a famous Hollywood actor.|Він відомий голлівудський актор.
actress|n|ˈæktrɪs|3263|актриса|She won an award for best actress.|Вона отримала нагороду за кращу роль актриси.
actual|adj|ˈæktʃuəl|1752|реальний|The actual cost was much higher than expected.|Реальна вартість була набагато вищою, ніж очікувалося.
ad|n|æd|1761|реклама|He saw the job ad in the newspaper.|Він побачив оголошення про роботу в газеті.
add|v|æd|341|додавати|Please add some sugar to the tea.|Будь ласка, додай цукру до чаю.
addition|n|əˈdɪʃn|3976|додавання; додаток|The addition of new features improved the software.|Додавання нових функцій покращило програмне забезпечення.
address|n/v|əˈdres|1820|адреса; звертатися|Write down your address here./He addressed the crowd with a speech.|Запишіть тут свою адресу./Він звернувся до натовпу з промовою.
admire|v|ədˈmaɪər|3305|захоплюватися|I admire her dedication to her work.|Я захоплююся її відданістю роботі.
admission|n|ədˈmɪʃn|3057|допуск; визнання|Admission to the event is free./He made an admission of guilt.|Вхід на захід безкоштовний./Він зробив визнання провини.
admit|v|ədˈmɪt|1093|визнавати; допускати|He admitted he was wrong./They admitted us into the club.|Він визнав, що помилився./Вони допустили нас до клубу.
adult|n/adj|ˈædʌlt|972|дорослий; дорослий|Only adults can enter this area./The movie is for adult audiences.|Тільки дорослі можуть входити в цю зону./Фільм для дорослої аудиторії.
advanced|adj|ədˈvænst|2824|просунутий|He took an advanced course in physics.|Він відвідував просунутий курс з фізики.
advantage|n|ədˈvæntɪdʒ|1308|перевага|Having a car is a big advantage here.|Мати автомобіль тут велика перевага.
adventure|n|ədˈventʃər|2885|пригода|They went on an adventure in the mountains.|Вони вирушили на пригоду в гори.
advert|n|ˈædvɜːt|NULL|реклама|The advert was very catchy.|Реклама була дуже запам'ятовуючою.
advertise|v|ˈædvətaɪz|NULL|рекламувати|They decided to advertise their new product.|Вони вирішили рекламувати свій новий продукт.
advertisement|n|ədˈvɜːtɪsmənt|NULL|реклама|The advertisement appeared in several magazines.|Реклама з'явилася в декількох журналах.
advice|n|ədˈvaɪs|1650|порада|She gave me some good advice.|Вона дала мені кілька хороших порад.
advise|v|ədˈvaɪz|2575|радити|I would advise you to think twice.|Я б радив тобі подумати двічі.
aeroplane|n|ˈeərəpleɪn|NULL|літак|The aeroplane took off on time.|Літак вилетів вчасно.
afford|v|əˈfɔːd|1860|мати змогу|We can't afford to buy a new car right now.|Зараз ми не можемо дозволити собі купити новий автомобіль.
afraid|adj|əˈfreɪd|1407|наляканий|She was afraid of the dark.|Вона боялася темряви.
Africa|n|ˈæfrɪkə|NULL|Африка|Africa is home to many diverse cultures.|Африка є домом для багатьох різних культур.
after|prep/adv/conj|ˈæftər|260|після|After the movie, we went out for dinner./She arrived shortly after./After we finish, let's go home.|Після фільму ми пішли повечеряти./Вона прибула невдовзі після./Після того, як ми закінчимо, підемо додому.
afternoon|n|ˌæftəˈnuːn|1195|післяобіддя|We'll meet in the afternoon.|Ми зустрінемося після обіду.
afterwards|adv|ˈæftəwədz|NULL|потім|We had dinner and afterwards went for a walk.|Ми повечеряли, а потім пішли на прогулянку.
again|adv|əˈɡen|184|знову|Can you do that again?|Чи можете ви зробити це знову?
against|prep|əˈɡenst|180|проти|He was against the new policy.|Він був проти нової політики.
age|n/v|eɪdʒ|3942|вік; старіти|He is the same age as me./The wine has aged well.|Він має той самий вік, що й я./Вино добре постаріло.
aged|adj|ˈeɪdʒd|NULL|старий|The aged oak gave the room character.|Старий дуб додав кімнаті характеру.
agency|n|ˈeɪdʒənsi|695|агентство|She works for a travel agency.|Вона працює в туристичному агентстві.
agent|n|ˈeɪdʒənt|1023|агент|The agent helped us find a house.|Агент допоміг нам знайти будинок.
ago|adv|əˈɡoʊ|317|тому|He left two hours ago.|Він пішов дві години тому.
agree|v|əˈɡriː|515|погоджуватися|I agree with your plan.|Я погоджуюся з вашим планом.
